Name,Type,Compatibility,OAI-PMH,website
"Bangor University: eBangor / Prifysgol Bangor",Institutional Repository,not available,,http://e.bangor.ac.uk
"Queen Margaret University eResearch",Institutional Repository,not available,,http://eresearch.qmu.ac.uk/
"ECS Student Portfolio",Institutional Repository,not available,,http://eprints.ecs.soton.ac.uk/
"Halifax Public Libraries Digital Archives",Institutional Repository,not available,,http://digitalcollections.halifaxpubliclibraries.ca
"Warburg Library Commons",Institutional Repository,not available,,https://commons.warburg.sas.ac.uk
"University of Birmingham Research Portal",Institutional Repository,not available,,https://research.birmingham.ac.uk/portal/en/
"Coventry Pure Portal",Institutional Repository,not available,,https://pureportal.coventry.ac.uk
"Queen Mary Research Online",Institutional Repository,not available,,https://qmro.qmul.ac.uk/
"Explore Bristol Research",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://research-information.bristol.ac.uk/ws/oai,http://research-information.bristol.ac.uk/
"UWL Repository",Institutional Repository,collected from a compatible aggregator,,https://repository.uwl.ac.uk/
"University of Huddersfield Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.hud.ac.uk/
"Institute of Education EPrints",Institutional Repository,not available,,http://eprints.ioe.ac.uk/
"National Museums Scotland Research Repository",Institutional Repository,not available,,https://nms.iro.bl.uk
"St Andrews Eprints",Institutional Repository,not available,,http://eprints.st-andrews.ac.uk/
"Pharmacy Eprints",Institutional Repository,OpenAIRE Basic (DRIVER OA),,http://eprints.pharmacy.ac.uk/
"Teeside Universitys Research Repository",Institutional Repository,not available,,https://research.tees.ac.uk/en/publications/
"LSTM Online Archive",Institutional Repository,collected from a compatible aggregator,,http://archive.lstmliverpool.ac.uk/
"NERC Open Research Archive",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://nora.nerc.ac.uk/cgi/oai2,http://nora.nerc.ac.uk/
"University of Birmingham Research Archive, E-theses Repository",Institutional Repository,not available,,http://etheses.bham.ac.uk/
"UWE Research Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.uwe.ac.uk/
"LSE Theses Online",Institutional Repository,not available,,http://etheses.lse.ac.uk/
"R4D",Institutional Repository,not available,,http://www.dfid.gov.uk/R4D/
"Informatics@Edinburgh - Reports Series",Institutional Repository,not available,,http://www.inf.ed.ac.uk/publications/report/
"White Rose Research Online",Institutional Repository,collected from a compatible aggregator,,http://eprints.whiterose.ac.uk/
"University of Birmingham Research Archive, E-papers Repository",Institutional Repository,OpenAIRE 2.0 (EC funding),,http://epapers.bham.ac.uk/
